Nome;Concentração;Forma Farmacêutica;Componente;Postos de Distribuição;Status
loratadina;10 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
maleato de dexclorfeniramina;0,4 mg/mL;Xarope;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
maleato de timolol;5 mg/mL (0,5%);Solução oftálmica;Básico e Especializado;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível na Farmácia Popular
mesilato de doxazosina;2 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
metildopa;250 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
metronidazol;100 mg/g (10%);Gel vaginal;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
metronidazol;400 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Aguardando Reposição
mononitrato de isossorbida;20 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
neomicina associada com bacitracina;5 mg + 250 UI/g;Pomada;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
nifedipino retard;20 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
nimesulida;100 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
nistatina;100.000 unidades internacionais/mL;Suspensão oral;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
nitrato de miconazol;2% (20 mg/g);Creme vaginal;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
nitrofurantoína;100 mg;Cápsula;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
noretisterona;0,35 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
omeprazol;20 mg;Cápsula;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
paracetamol;200 mg/mL;Solução oral;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
paracetamol;750mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
permetrina;10 mg/g (1%);Loção;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
permetrina;50 mg/g (5% );Loção;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
prednisona;20 mg;Comprimido;Básico e Estratégico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
prednisona;5 mg;Comprimido;Básico e Estratégico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
risperidona;1 mg;Comprimido;Especializado;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
sais para reidratação oral;cloreto de sódio, glicose anidra, cloreto de potássio, citrato de sódio diidratado;Pó para solução oral;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
succinato de metoprolol;100 mg;Comprimido de liberação prolongada;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
sulfametoxazol + trimetoprima;40 mg/mL + 8 mg/mL;Suspensão oral;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
sulfametoxazol + trimetoprima;400 mg + 80 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
sulfato ferroso;25 mg/mL (Ferro elementar);Solução oral;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
sulfato ferroso;40 mg (Ferro elementar);Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
valproato de sódio;50 mg/mL;Xarope;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
varfarina sódica;5 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
ácido acetilsalicílico;100 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
ácido folínico;15 mg;Comprimido;Básico e Estratégico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
ácido fólico;0,2 mg/mL;Solução oral;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
ácido fólico;5 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
ácido valproico;250 mg;Cápsula;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
óleo mineral;400 mg;Óleo para uso oral;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
